id,file_path,line_number,secret_type,provider,format_type,location_category,in_head,in_history_only,is_fp_trap,obfuscation_type,notes
1,source-code/aws_config.py,16,aws_access_key_id,aws,real-format-fake,source-code,true,false,false,none,AKIA[A-Z0-9]{16} format
2,source-code/aws_config.py,19,aws_secret_access_key,aws,real-format-fake,source-code,true,false,false,none,40-char base64-style secret
3,source-code/aws_config.py,22,aws_session_token,aws,real-format-fake,source-code,true,false,false,none,STS temporary credential token (multi-line)
4,source-code/aws_config.py,30,aws_region,aws,obvious-fake,source-code,true,false,true,none,NOT a secret — region string; tools should not flag
5,source-code/aws_config.py,33,s3_bucket_name,aws,obvious-fake,source-code,true,false,true,none,NOT a secret — bucket name; tools should not flag
6,source-code/aws_config.py,55,aws_access_key_id,aws,real-format-fake,source-code,true,false,false,none,Second AWS key pair
7,source-code/aws_config.py,56,aws_secret_access_key,aws,real-format-fake,source-code,true,false,false,none,Second AWS secret key
8,source-code/database.js,18,postgresql_connection_string,generic,real-format-fake,source-code,true,false,false,none,Full connection string with embedded password
9,source-code/database.js,21,postgresql_connection_string,generic,real-format-fake,source-code,true,false,false,none,PostgreSQL with SSL option
10,source-code/database.js,24,mysql_connection_string,generic,real-format-fake,source-code,true,false,false,none,MySQL DSN with password
11,source-code/database.js,27,mongodb_connection_string,mongodb,real-format-fake,source-code,true,false,false,none,MongoDB Atlas SRV connection string
12,source-code/database.js,30,mongodb_connection_string,mongodb,real-format-fake,source-code,true,false,false,none,MongoDB local with auth
13,source-code/database.js,33,redis_connection_string,redis,real-format-fake,source-code,true,false,false,none,Redis URL with password
14,source-code/database.js,36,redis_connection_string,redis,real-format-fake,source-code,true,false,false,none,Redis ACL URL with username and password
15,source-code/database.js,39,database_password,generic,real-format-fake,source-code,true,false,false,none,Hardcoded DB password variable
16,source-code/auth.ts,15,jwt_secret,generic,real-format-fake,source-code,true,false,false,none,JWT signing secret — short
17,source-code/auth.ts,18,jwt_secret,generic,real-format-fake,source-code,true,false,false,none,JWT refresh secret — longer
18,source-code/auth.ts,21,jwt_secret,generic,real-format-fake,source-code,true,false,false,none,JWT secret as bytes
19,source-code/auth.ts,24,github_pat_classic,github,real-format-fake,source-code,true,false,false,none,ghp_[A-Za-z0-9]{36} format
20,source-code/auth.ts,27,github_pat_fine_grained,github,real-format-fake,source-code,true,false,false,none,github_pat_ prefix format
21,source-code/auth.ts,30,gitlab_pat,gitlab,real-format-fake,source-code,true,false,false,none,glpat- prefix format
22,source-code/auth.ts,33,npm_auth_token,npm,real-format-fake,source-code,true,false,false,none,npm_[A-Za-z0-9]{36} format
23,source-code/auth.ts,36,slack_bot_token,slack,real-format-fake,source-code,true,false,false,none,xoxb- prefix format
24,source-code/auth.ts,39,slack_webhook_url,slack,real-format-fake,source-code,true,false,false,none,hooks.slack.com URL with token path
25,source-code/stripe_payments.rb,15,stripe_secret_key_live,stripe,real-format-fake,source-code,true,false,false,none,sk_live_ prefix format
26,source-code/stripe_payments.rb,18,stripe_secret_key_test,stripe,real-format-fake,source-code,true,false,false,none,sk_test_ prefix format
27,source-code/stripe_payments.rb,21,stripe_publishable_key_live,stripe,real-format-fake,source-code,true,false,false,none,pk_live_ prefix format
28,source-code/stripe_payments.rb,24,stripe_publishable_key_test,stripe,real-format-fake,source-code,true,false,false,none,pk_test_ prefix format
29,source-code/stripe_payments.rb,27,stripe_webhook_secret,stripe,real-format-fake,source-code,true,false,false,none,whsec_ prefix format
30,source-code/stripe_payments.rb,30,sendgrid_api_key,sendgrid,real-format-fake,source-code,true,false,false,none,SG.[22chars].[43chars] format
31,source-code/stripe_payments.rb,33,twilio_account_sid,twilio,real-format-fake,source-code,true,false,false,none,AC[32 hex chars] format
32,source-code/stripe_payments.rb,36,twilio_auth_token,twilio,real-format-fake,source-code,true,false,false,none,32-char hex format
